month,Rainfall,min_tmin,mean_tmin,max_tmin,min_tmax,mean_tmax,max_tmax
1944-07,,15.6,18,20,18.3,26.1,29.4
1944-08,,16.2,18,19.4,22.2,26.5,28.9
1944-09,,15.6,17.9,18.9,23.9,27.4,30
1944-10,,15.6,17.5,20.6,24.4,27.5,30.6
1944-11,,13.3,17.3,19.1,20.6,25.9,30
1944-12,,17.9,18.3,18.7,17.2,23.2,27.2
1945-01,,18,18.4,18.9,17.2,24.4,28.9
1945-02,,18.2,18.5,19.2,21.7,25.2,28.9
1945-03,,18.5,18.8,19.2,25,29.3,32.2
1945-04,,18.9,19.3,19.6,30.6,33.8,36.7
1945-05,85.8,15.6,18.7,22.6,21.7,30,34.9
1945-06,124.2,16.7,18.8,21.1,22.7,29.5,32.8
1945-07,196.7,16.2,18.5,20.7,22.1,28.1,30.7
1945-08,156,16,18,19.6,22.2,27.9,31.3
1945-09,258.5,14.4,17.7,20,21.8,26.6,29.9
1945-10,41,13.8,16.6,19,25.1,27.2,30.2
1945-11,1.8,11.4,14.7,18.8,19.9,26.3,29.7
1945-12,0.5,6.8,11.2,14.9,19,23.1,26.2
1946-01,0,6.4,10.6,16.6,19.9,24,27.3
1946-02,0,7.8,11.6,18.4,15.2,25.7,30
1946-03,0,12.1,17,20.4,24.6,29.3,32.7
1946-04,17.3,15.4,20.4,23.2,29.3,33.5,36.6
1946-05,171,16.1,19.2,24.3,22.8,29.5,35.6
1946-06,238.4,16.8,18.3,20.1,23.2,28.6,32.8
1946-07,228.2,15.4,17.9,19.4,22.3,27.7,31.2
1946-08,178.2,16,17.8,19.4,22.9,28,31.3
1946-09,299.8,15.7,18.1,19.8,21.7,26.6,33.8
1946-10,54.1,14.3,17.4,19.8,23.1,27.7,29.6
1946-11,0.3,9.6,13.4,18.1,22,25.3,28.3
1946-12,0,8,11.9,16.1,20.7,24.6,28.2
1947-01,0,6.4,11.2,16.8,19.4,25.4,28.7
1947-02,0,8.4,12.3,16.1,24.7,26.7,28.8
1947-03,0,12.3,16.7,21.1,24,30.2,35.1
1947-04,1.5,15.8,19.6,21.9,27.1,32.1,35.9
1947-05,56.3,15.8,20.4,23,24.9,32.2,36
1947-06,236.9,16.9,18.2,19.7,22.7,27.9,31
1947-07,210.6,15.6,17.8,20,21.7,27.3,32.1
1947-08,345.9,16.3,17.8,19.4,22.8,26.4,30.2
1947-09,228,15.7,18,20.1,23.9,27.5,30
1947-10,134.3,15.1,17.2,18.7,22.9,27,29.4
1947-11,8.6,11.8,14.6,17.9,19.6,25.2,28.9
1947-12,1.6,8.3,12.1,16.1,20.7,23.5,27.2
1948-01,0,7.2,11.7,17.2,19.4,24.1,27.7
1948-02,0.8,9.7,13.6,17.9,17.6,25.1,28.9
1948-03,0,9.2,16.2,20.9,20.4,28.9,34.4
1948-04,5.6,17.3,20.2,22.9,28.7,32.8,35
1948-05,121.4,15,19.5,23.8,21.8,31.4,36.7
1948-06,155.5,16.2,19.1,23.1,23.8,29.9,34
1948-07,97,16.7,19.6,23.9,26.7,31,35.6
1948-08,283.9,15.6,17.6,19.4,18.3,27.3,31.7
1948-09,105.8,15.6,17.6,19.4,22.8,27.9,32.8
1948-10,6.6,,,,,,
1948-11,3,9.4,14.6,18.3,18.9,26.1,30
1948-12,0,10,12.4,16.1,19.4,24.7,27.8
1949-01,0,7.8,12.4,17.8,21.1,25.2,29.4
1949-02,0,10,14,19.4,25.1,28.7,33.9
1949-03,0,13.9,18.2,21.7,22.2,30.3,33.3
1949-04,0,13.6,19.8,23.3,25,32.3,34.4
1949-05,57.9,16.1,20.6,25,22.3,32.3,36.9
1949-06,342.5,15.6,18.3,21.2,22.8,27.9,32.1
1949-07,313.2,16.7,18.2,19.3,21.2,25.1,27.7
1949-08,307.3,16.4,18.1,20.9,19.3,26,29.6
1949-09,182.2,16.1,17.9,19.4,21.4,26.9,28.9
1949-10,67.9,10.8,16.5,19.1,25,27.3,29.6
1949-11,0,8.4,12.4,16.6,18.1,23.9,29.2
1949-12,0,6.9,11.1,13.1,22,23.7,25.2
1950-01,0,7.2,11.6,15.6,20.8,24.5,27.3
1950-02,0,7.8,12,15.1,21.5,24.7,27.8
1950-03,0,12.3,16.9,21.8,24.4,28.8,33.3
1950-04,3.9,13.9,18.4,22.4,22.1,30,34.4
1950-05,93.1,,,,,,
1950-06,80.5,15.3,18.4,21.3,21.7,28.6,32.5
1950-07,209.9,13.6,15.8,18.1,19.4,24.6,27.7
1950-08,243.9,14.1,17.3,21,18.7,25.4,28.8
1950-09,98.1,14.7,17.1,19.8,23.3,27.6,29.6
1950-10,19.5,11.2,15.7,19.4,25.7,28.2,30.2
1950-11,5.1,8.6,13.8,18.6,21.6,26.6,29.8
1950-12,0,5.8,10.4,14.4,19.4,24,28.2
1951-01,0,6.1,10.7,14.6,20,24.4,29
1951-02,4.6,9.1,14,20.1,20.9,26.1,30.9
1951-03,0,11,17.3,20.7,25.4,30.6,33.2
1951-04,7.6,15,20.6,23.2,31,32.9,34.6
1951-05,132.6,16.3,18.4,21.6,24.4,30.9,34.4
1951-06,378.8,16.6,18.3,19.8,23.3,27.6,31.8
1951-07,318.6,16.3,18.6,21,23.3,27.8,29.9
1951-08,285.2,15.3,18.3,19.2,23.5,26.3,28.6
1951-09,43.2,11.4,16.7,19.4,23.4,28.4,31.1
1951-10,50,11.9,16.3,19.4,25.1,27.6,31.8
1951-11,0,8.2,13.1,16.2,22.6,26.4,29.9
1951-12,0,11.1,12.9,15.6,22.7,24.8,26.8
1952-01,0,6.8,10.9,14,20.8,24.9,27.6
1952-02,0,10.7,13.6,17.8,23.3,28,32.9
1952-03,0,13,18.3,22.2,21.3,30.7,35.1
1952-04,19.8,14.3,19.4,22.6,29,32.1,35.7
1952-05,50.4,14.3,18.6,23.5,20.9,30.7,37.2
1952-06,126,15.4,18.4,20.3,23.4,30,33.4
1952-07,356.4,16.2,18.2,20.5,23.6,27.6,29.9
1952-08,258.5,15.9,18.1,20.5,23.4,28.4,31.8
1952-09,144.3,15.8,17.9,20.2,24.2,27.5,30.2
1952-10,16.3,12.7,16,19.4,24.5,28.6,31.3
1952-11,0,8.7,13.7,16.1,23.6,27.1,30.5
1952-12,0,7.4,11.4,14.4,20.6,24.7,29.4
1953-01,0,7.4,11.3,16.4,19.9,24.8,29.2
1953-02,0,6.7,13.9,19.7,23.8,27.4,30.7
1953-03,0,9.9,15.3,21.1,19.2,28.3,33.6
1953-04,0,15.7,20.1,23.1,28.1,31.8,35.4
1953-05,11.5,18.6,21.3,24.8,26.1,33.6,36.7
1953-06,269.9,17.1,18.8,20.3,23.7,28.3,31.6
1953-07,174.4,16.7,17.8,18.9,22.1,26.9,30.8
1953-08,148.2,15.9,17.8,20.2,23.9,28.2,30.5
1953-09,107.2,13.9,17.1,20.2,23,27.8,30.7
1953-10,0.8,11.7,16.1,21,24,28.1,30.8
1953-11,0,9.8,14.4,18.8,24.3,28.1,29.9
1953-12,0,7.3,11.3,14.5,18,23.8,28.1
1954-01,0,6.7,11.1,15.9,21.1,25.2,28.4
1954-02,0,8.7,14,20.2,22.2,27.1,32.1
1954-03,0,13.1,16.9,20.4,26.2,29.8,31.8
1954-04,0,13.5,20.2,24.8,29.7,32.8,37
1954-05,204.8,16.4,19,22,24.8,29.6,36.2
1954-06,157.6,15.7,18,21.1,26.1,28.7,31
1954-07,423.6,15.5,17.9,20.3,23.4,27,30.2
1954-08,326.8,16.2,18.5,19.7,23.3,26.3,28.9
1954-09,103.5,14,17.4,19.7,21.8,26.7,29.5
1954-10,33,12.8,16,19.9,23.9,27.6,29.6
1954-11,7.6,9.9,13.7,18.3,20.5,25.7,28.4
1954-12,0,7.2,11.4,15,21.7,24.7,27.3
1955-01,0,7.5,12.1,17.3,20.4,25.1,27.8
1955-02,0,2.6,12.5,18.3,19.7,27.2,30.1
1955-03,0,11.7,16.2,21.1,25.8,29.2,33.1
1955-04,0,12.9,19.7,23.8,27.7,32.7,35
1955-05,17.9,17.4,20.5,24.9,25.7,32.8,36.4
1955-06,201.3,16.2,18,20.1,24.2,28.2,32.5
1955-07,223.8,13.8,17.4,18.8,22.8,26.1,28.6
1955-08,245.3,15.4,17.3,19.4,21.6,26.7,29.4
1955-09,170.4,13.9,17.7,19.7,24.9,27.4,30.2
1955-10,153.4,13.4,16.8,19.9,19.2,25.8,28.3
1955-11,0,11.6,13.8,18.4,20.8,26.2,28.4
1955-12,0,8.5,12.3,17.2,15.6,24.1,26.7
1956-01,0,6.3,10.5,14.9,21.2,24.3,27.5
1956-02,0,9.2,13.1,17.6,23.3,27.6,31.3
1956-03,0.5,10.3,16,20.2,24.4,29.1,35.6
1956-04,0.8,15.6,19.3,22.7,28.9,31.6,33.5
1956-05,167.7,16.6,19.1,23.1,23.4,29.7,35.6
1956-06,293.5,15.8,18.1,20.3,23.3,27.8,30.6
1956-07,270.6,15.6,17.7,18.9,23.4,26.5,29.3
1956-08,203.9,15.4,18.1,20.3,20.8,26.6,30.1
1956-09,164.4,16,17.8,19.7,25.6,27.8,29.6
1956-10,105.1,13,16.3,18.9,21.9,28,30.3
1956-11,10.1,8.9,13.7,19.6,16.7,25.8,29.4
1956-12,0,6.6,10.7,14,22.2,25.4,28.4
1957-01,0,6.3,10.8,14.7,23.9,26.3,28.3
1957-02,0,2.7,14.4,20.7,23.9,27.5,31.5
1957-03,0,14.4,19.7,23.3,27.2,31.1,34.5
1957-04,4.3,18.3,21.3,23.4,30.7,33,35.6
1957-05,0.3,18.8,22,24.9,32.3,34.6,37.6
1957-06,214.7,15.3,19.1,24.6,22.1,29,34.3
1957-07,313.7,17.6,18.8,20.3,23.7,28.1,31.8
1957-08,209.2,17.2,18.5,19.4,24.2,27,29.9
1957-09,9.1,14.2,17.3,19.5,25.9,28.8,31.7
1957-10,83.4,13.8,17.2,19.7,27.1,29.4,31.2
1957-11,0,10.5,14.3,19.2,23.7,27.8,29.9
1957-12,0,8.6,12.2,16.3,19.7,25,29.8
1958-01,0,8.2,11.4,14.9,21.1,23.8,25.4
1958-02,0,9.8,13.2,20.2,16.6,26.2,32.3
1958-03,0,14.3,18.3,22.3,25.8,31.3,34.7
1958-04,9.9,15.7,20.1,24.9,27.8,32.8,36.5
1958-05,88.1,16.9,19.7,24.3,28,32.3,34.2
1958-06,136.1,16.8,18.9,21.7,22.5,29,33.9
1958-07,255,16.3,18.3,21.1,25.3,27.9,31.6
1958-08,287.9,16.7,18.4,20,21.9,26.9,30.8
1958-09,59.7,11.6,16.6,19.2,24.9,28,31.1
1958-10,14.7,14.2,16.8,19.9,25.8,28.5,30.7
1958-11,1,8.8,13.8,19.8,26.4,28.8,31.3
1958-12,0,8.3,12.2,17.2,21.9,25.6,28.1
1959-01,0,8.6,13.5,18.2,22.4,25.6,28.7
1959-02,0,10.1,14.1,20.8,20.1,27.3,32.4
1959-03,0,12.8,17.5,21.3,27.2,30,33.3
1959-04,5.3,13.7,20,23.2,23.5,32.3,35.6
1959-05,114.3,14.4,18.9,23.8,23.1,31.8,35.9
1959-06,294.4,17.1,18.8,19.9,19.9,28.3,32.7
1959-07,183.1,13.8,17.4,19.7,22.6,28.1,31.6
1959-08,210.6,16.5,18.1,19.4,23.2,27.2,29.9
1959-09,142.7,14.6,17.7,20,24.2,26.7,28.8
1959-10,28.2,12.9,16.2,20.3,23.3,27.6,29.9
1959-11,0,9.9,14.1,18.2,23.5,27.4,30.7
1959-12,3.3,12.3,14,18.2,22.1,25.3,28.3
1960-01,0,7.9,11.8,17.3,19.2,23.5,28.3
1960-02,0,10.2,14.9,19.1,24.7,27.5,30.6
1960-03,0.8,12.7,17.4,21.6,26.3,29.4,33.6
1960-04,4.1,14.9,20.2,23.5,28.8,31.9,34.1
1960-05,109.7,16.6,19.8,23.5,25.4,31.1,33.6
1960-06,236.7,16.7,19.4,24,25.2,29.7,35.1
1960-07,155,16.7,18.8,21.2,22.6,27.5,29.8
1960-08,224.7,15.9,17.8,19.2,22.8,26.6,29.4
1960-09,378.9,16.7,18.2,20,25.1,28,29.4
1960-10,111.5,16,17.6,18.9,24.6,27.9,29.9
1960-11,4.1,9.6,14.6,18.6,24.4,28,30
1960-12,0.5,9.4,13.2,18.5,23.5,25.8,28.9
1961-01,0.5,10.2,13.8,16.2,20.8,24.4,27.6
1961-02,0,8.9,13.3,19.3,20.1,25.6,29.8
