Year,Rainfall,Start,End,Length
1980,1607.8,null,271,null
1981,807.7,166,296,130
1982,1048.8,135,282,147
1983,821.4,166,296,130
1984,1462.6,162,284,122
1985,1513.8,133,269,136
1986,1107.7,185,284,99
1987,1241.1,152,303,151
1988,1289.5,183,292,109
1989,815.2,null,299,null
1990,968.1,173,279,106
1991,739.6,153,268,115
1992,1045.8,162,296,134
1993,677.2,null,295,null
1994,523,null,null,null
1995,1279.3,null,281,null
1996,850.5,159,283,124
1997,879.1,null,null,null
1998,818.4,null,279,null
1999,737,null,268,null
2000,961.1,166,277,111
2001,923.7,141,269,128
2002,1120.7,158,273,115
2003,811.6,153,259,106
2004,882,147,null,null
2005,991.4,null,277,null
2006,1009.3,148,269,121
2007,873.3,160,262,102
2008,1008.9,170,275,105
2009,769.1,null,275,null
2010,889.5,147,283,136
2011,987.9,172,277,105
2012,686.4,164,262,98
2013,931,168,281,113
2014,851.4,172,291,119
2015,637.4,169,267,98
2016,968.6,173,268,95
2017,817.1,163,288,125
2018,976.3,146,293,147
2019,344.3,149,184,35
